14	23	27	31	37	41	45	51	55	59	68
14	22	27	31	37	41	45	51	55	59	67
14	22	26	31	37	41	45	51	55	59	67
14	22	26	30	36	41	45	51	55	59	67
14	22	26	30	36	40	44	50	54	59	67
14	22	26	30	36	40	44	50	54	59	67
14	22	26	30	36	40	44	50	54	58	66
13	21	26	30	36	40	44	50	54	58	66
13	21	26	30	36	40	43	49	53	58	66
13	21	26	29	35	39	43	49	53	58	65
13	21	25	29	35	39	43	49	53	57	65
13	21	25	29	35	39	43	49	52	57	65
13	21	25	29	35	39	42	48	52	57	64
13	20	25	29	34	38	42	48	52	56	64
12	20	25	28	34	38	42	47	51	56	63
12	20	25	28	34	38	41	47	51	56	63
12	20	24	28	34	37	41	47	50	55	63
12	19	24	28	33	37	41	46	50	55	62
12	19	24	28	33	37	40	46	50	54	62
12	19	24	27	33	36	40	46	49	54	61
12	19	23	27	32	36	40	45	49	53	61
10	19	23	27	32	36	39	45	48	53	60
10	18	23	27	32	35	39	44	48	53	60
10	18	23	26	31	35	39	44	47	52	59
10	18	23	26	31	35	39	43	47	52	58
10	17	22	26	30	34	38	43	46	51	58
10	17	22	25	30	34	38	42	46	51	57
10	17	22	25	29	33	37	42	45	50	57
10	17	21	25	29	33	37	41	45	49	56
10	16	21	24	28	33	37	41	44	49	55
10	16	21	24	28	32	36	40	43	48	55
9	16	21	24	28	32	36	40	43	48	54
9	16	20	23	27	31	35	39	42	47	54
7	15	20	23	27	31	35	39	42	46	53
7	15	19	22	26	30	34	38	41	46	53
7	15	19	22	26	30	34	38	41	45	52
7	14	19	22	25	29	33	37	40	44	52
7	14	18	21	25	29	33	36	39	43	51
6	14	18	21	24	28	32	36	39	43	50
6	14	18	20	24	28	32	35	38	42	50
6	13	17	20	23	27	31	35	37	41	49
6	13	17	19	23	27	31	34	37	40	48
6	12	16	19	22	26	30	33	36	40	48
3	12	16	18	21	26	30	33	35	39	47
3	12	15	18	21	25	29	32	35	38	46
3	10	15	17	20	24	28	32	34	37	45
3	10	14	17	20	24	28	31	33	37	45
3	10	14	16	19	23	27	30	33	36	44
3	10	13	16	18	23	27	30	32	35	43
3	10	13	15	18	22	26	29	31	34	42
0	9	12	14	17	21	25	28	30	33	41
0	7	12	14	17	21	25	27	30	33	41
0	7	10	13	16	20	24	27	29	32	40
0	7	10	13	15	19	23	26	28	31	39
0	7	10	12	15	19	23	26	28	31	39
0	6	9	10	14	18	22	25	27	30	38
0	6	9	10	14	18	21	24	27	30	38
0	6	7	10	13	17	21	24	26	29	37
0	6	7	10	13	16	20	23	25	28	36
0	6	7	9	12	16	20	23	25	28	36
0	6	7	9	12	15	19	22	24	27	35
0	3	6	7	10	15	19	21	24	27	35
0	3	6	7	10	14	18	21	23	26	34
0	3	6	7	10	14	18	20	23	26	34
0	0	6	7	10	13	17	20	22	25	33
0	0	6	6	9	13	17	19	22	25	33
0	0	3	6	9	12	16	19	21	24	32
0	0	3	6	7	12	16	18	21	24	32
0	0	3	6	7	10	15	18	20	23	31
0	0	3	6	7	10	15	17	20	23	31
0	0	3	6	7	10	14	17	19	22	30
0	0	0	6	7	10	14	16	19	22	30
0	0	0	3	6	10	13	16	19	22	30
0	0	0	3	6	9	13	16	19	22	30
0	0	0	3	6	9	12	15	18	22	30
0	0	0	3	6	7	12	15	18	21	30
0	0	0	3	6	7	12	15	18	21	29
0	0	0	0	6	7	10	14	17	21	29
0	0	0	0	6	7	10	14	17	20	28
0	0	0	0	6	7	10	13	17	20	28
0	0	0	0	3	7	10	13	16	19	27
0	0	0	0	3	6	10	13	16	19	28
0	0	0	0	3	6	9	12	16	19	27
0	0	0	0	3	6	9	12	15	19	27
0	0	0	0	3	6	9	12	15	19	27
0	0	0	0	3	6	7	10	15	18	27
0	0	0	0	3	6	7	10	14	18	26
0	0	0	0	0	6	7	10	14	18	26
0	0	0	0	0	6	7	10	14	17	25
0	0	0	0	0	6	7	10	13	17	25
0	0	0	0	0	6	7	10	13	16	24
0	0	0	0	0	6	7	9	13	16	24
0	0	0	0	0	3	6	9	12	16	24
0	0	0	0	0	3	6	9	12	16	24
0	0	0	0	0	3	6	9	12	15	24
0	0	0	0	0	3	6	9	12	15	23
0	0	0	0	0	3	6	7	10	15	23
0	0	0	0	0	3	6	7	10	15	23
0	0	0	0	0	3	6	7	10	14	22
0	0	0	0	0	3	6	7	10	14	22
0	0	0	0	0	3	6	7	10	14	21
0	0	0	0	0	3	6	7	10	13	20
0	0	0	0	0	3	6	7	9	13	20
0	0	0	0	0	3	6	7	9	12	19
0	0	0	0	0	3	6	6	7	12	19
0	0	0	0	0	0	6	6	7	10	18
0	0	0	0	0	0	6	6	7	10	18
0	0	0	0	0	0	6	6	7	10	18
0	0	0	0	0	0	6	6	7	10	17
0	0	0	0	0	0	3	6	7	10	17
0	0	0	0	0	0	3	6	7	10	17
